panel,slot,x,variant,round,inc_runtime_s,batch_runtime_s,batch_step0_runtime_s,breakdown_F_s,breakdown_S_s,breakdown_E_s,breakdown_R_s,breakdown_C_s,sk_mb,recall_plus,aff_join_s,aff_relabel_s,aff_total,add_pct,dataset,add_count,aff_common,aff_new,base_size,batch_align_runtime_s,batch_model_name,batch_peak_mem_mb,batch_rules,batch_search_runtime_s,batch_search_supp_nodes,batch_step1_runtime_s,batch_supp_nodes,batch_timing_contract,batch_train_runtime_s,batch_train_supp_nodes,dataset_ratio,del_count,fn,fp,gt_invalid_rules,gt_new_rules,inc_dequeue_n,inc_enqueue_n,inc_search_nodes,inc_train_canonical_rules,inc_train_raw_rules,lattice_samples,mcorr_diff_enqueued,mcorr_diff_raw,mcorr_diff_size,mcorr_enter_mode,mcorr_enter_threshold,mcorr_inc_cand,mcorr_inc_score_pos,mcorr_params,mcorr_predict_calls,mcorr_step1_cand,mcorr_step1_score_pos,mcorr_succ_generated,mcorr_succ_kept,mcorr_succ_pruned,minsup,minsup_base,new_rules,new_size,paper_mcorr,peak_mem_mb,pred_topk,pruned_rules,recall,recall_minus,remine_train_canonical_rules,remine_train_raw_rules,rules,s0_seeds,sample_count,sample_l8_13_ran,sample_l8_13_rhs,sample_replay_s,sample_replay_visits,sample_size,search_per_node_s,search_s,sigma,single_pred_seeds,sk_exact,sk_intersect,sk_probes,sk_skip,step2_s,step2_verified_n,t9_ml_noskip,t9_ml_seed,total_runtime_s,tp,train_action,train_alignment,train_class_neg,train_class_pos,train_key_sha256,train_label_sha256,update_type,verified,visit_mid_nodes,visit_rule_nodes,workers,batch_plot_s,inc_over_batch_plot,sweep,source_kind,csv_path,exported_at
g,del1,1,pincminer,0,16.009024662,200.712780635,106.911311938,0.570348973,1.288272065,1.114176558,0.498400902,0.035875767,10.48576,1,,0.004908349,,,,0,,,220940,1.539637629,batch-cold-round-0,11478.293930053711,106,45.223449203,1310,47.038372908,7410,cold-step0-step1-aff-mine,155.489330394,6100,1,2210,0,5,0,0,3159,5959,2411,1294,1294,1153,0,0,0,enforce,0.85,38686,22926,2433,5883,4714,2589,38686,22926,15760,47842,48814,141,218730,True,4719.719009399414,0,1188,1,1,1294,1294,146,0,1153,1,17,1.288272065,6808,220940,0.0009964531824968891,2.4024486229999997,1e-06,0,341,6808,5484,5143,0.570348973,111,False,False,16.526346774,106,clone,match,315,106,5f1ef0cb25956dbbde0aee61d2eaf594349322ac1a827e45ddcb0bd67c08d01b,3af6afb1b7c852ab7fc9bee2e1cd8104637a5a5281b7593fc731ae19dac39495,delete,111,9827,140,20,200.712780635,0.07976086331598742,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del1/results.csv,2026-09-11T11:22:02
g,del1,1,nocs,0,124.524393377,200.712780635,106.911311938,0.647317,0.16691745,1.474895755,0.418001173,0.061813991,10.48576,1,,0.005059973,,,,0,,,220940,1.539637629,batch-cold-round-0,11478.293930053711,106,45.223449203,1310,47.038372908,7410,cold-step0-step1-aff-mine,155.489330394,6100,1,2210,0,5,0,0,21446,44718,15978,,,1153,0,0,0,enforce,0.85,101785,61936,2433,17746,4714,2589,101785,61936,39849,47842,48814,146,218730,True,6342.9250411987305,0,1188,1,1,,,149,0,1153,1,17,0.16691745,6808,220940,0.0001027546129052447,1.6418132049999998,1e-06,0,5384,6808,5384,0,0.647317,111,False,False,125.129453913,106,,,,,,,delete,111,28109,145,20,200.712780635,0.6204108825708013,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del1/results.csv,2026-09-11T11:22:02
g,del1,1,noaux,0,95.90148237,200.712780635,106.911311938,0.533278931,0,75.484299643,1.69230112,0.029284912,10.48576,1,,0.004370902,,,,0,,,220940,1.539637629,batch-cold-round-0,11478.293930053711,106,45.223449203,1310,47.038372908,7410,cold-step0-step1-aff-mine,155.489330394,6100,1,2210,0,10,0,0,19599,19599,19599,,,0,0,0,0,enforce,0.85,0,0,2433,838,4714,2589,19327,19327,0,47842,48814,3705,218730,True,15465.725288391113,0,1188,1,1,,,3709,0,0,0,0,0,0,220940,0.0038514362795550794,75.484299643,1e-06,272,0,0,0,0,0.533278931,111,False,False,96.265691082,106,,,,,,,delete,111,15895,3704,20,200.712780635,0.47780456265213456,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del1/results.csv,2026-09-11T11:22:02
g,del1,1,naive,0,226.704117363,200.712780635,106.911311938,0.977700282,0,215.379292543,1.619326678,0.205495198,10.48576,1,,0.00469074,,,,0,,,220940,1.539637629,batch-cold-round-0,11478.293930053711,106,45.223449203,1310,47.038372908,7410,cold-step0-step1-aff-mine,155.489330394,6100,1,2210,0,11,0,0,19599,19599,19599,,,0,0,0,0,enforce,0.85,0,0,2433,838,4714,2589,19327,19327,0,47842,48814,3706,218730,True,15258.636245727539,0,1188,1,1,,,3710,0,0,0,0,0,0,220940,0.01098930009403541,215.379292543,1e-06,272,0,0,0,0,0.977700282,112,False,False,227.236311988,106,,,,,,,delete,112,15895,3704,20,200.712780635,1.1294951753733398,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del1/results.csv,2026-09-11T11:22:02
g,del1,1,staticcorr,0,16.449572772,200.712780635,106.911311938,0.557916534,0.98444025,2.465757051,0,0.051991645,10.48576,1,,0,,,,0,,,220940,1.539637629,batch-cold-round-0,11478.293930053711,106,45.223449203,1310,47.038372908,7410,cold-step0-step1-aff-mine,155.489330394,6100,1,2210,0,6,0,0,3159,5959,2411,,,1153,0,0,0,enforce,0.85,38686,22926,2433,5883,4714,2589,38686,22926,15760,47842,48814,151,218730,True,4366.156784057617,0,1188,1,1,,,154,0,1153,1,17,0.98444025,6808,220940,0.0014310233517212776,3.450197301,1e-06,0,351,6808,5494,5143,0.557916534,112,False,False,17.072693369,106,,,,,,,delete,112,9818,149,20,200.712780635,0.08195578139049281,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del1/results.csv,2026-09-11T11:22:02
g,del5,5,pincminer,0,19.891433516,187.39490021,104.973166631,1.712983765,2.684351395,8.387694984,0.49579528,1.841078312,10.48576,1,,0.003345001,,,,0,,,220940,3.156494005,batch-cold-round-0,11246.808433532715,87,35.585874129,867,43.679351063,6967,cold-step0-step1-aff-mine,151.809024497,6100,1,11047,0,20,23,4,1966,4366,1706,1294,1294,1153,108,136,254,enforce,0.85,35960,14814,2433,5494,4714,2589,35960,14814,21146,44055,48814,128,209893,True,3740.631721496582,0,1188,1,1,1294,1294,141,0,1153,1,17,2.684351395,1574,220940,0.006490062355803048,11.072046379,1e-06,0,155,1574,896,741,1.712983765,116,False,False,20.432941927,87,fine-tune,match,325,112,5f1ef0cb25956dbbde0aee61d2eaf594349322ac1a827e45ddcb0bd67c08d01b,f5f8e9260a1e97e4fc1e3d5916131ea7e1a7eb2d9e25c5a07d20abcb452a0f6c,delete,116,3412,128,20,187.39490021,0.10614714431240711,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del5/results.csv,2026-09-11T11:22:02
g,del5,5,nocs,0,87.821509912,187.39490021,104.973166631,1.661592274,3.63787186,14.12172532,0.518209,1.320359728,10.48576,1,,0.003157583,,,,0,,,220940,3.156494005,batch-cold-round-0,11246.808433532715,87,35.585874129,867,43.679351063,6967,cold-step0-step1-aff-mine,151.809024497,6100,1,11047,0,20,23,4,10197,28976,9316,,,1153,108,136,254,enforce,0.85,63473,39426,2433,12147,4714,2589,63473,39426,24047,44055,48814,134,209893,True,4032.30517578125,0,1188,1,1,,,141,0,1153,1,17,3.63787186,1574,220940,0.0019063543559467583,17.75959718,1e-06,0,902,1574,902,0,1.661592274,116,False,False,88.20594908,87,,,,,,,delete,116,11637,134,20,187.39490021,0.46864407629868654,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del5/results.csv,2026-09-11T11:22:02
g,del5,5,noaux,0,91.928551503,187.39490021,104.973166631,1.734363153,0,70.328793867,1.611570443,1.953150941,10.48576,1,,0.003229782,,,,0,,,220940,3.156494005,batch-cold-round-0,11246.808433532715,87,35.585874129,867,43.679351063,6967,cold-step0-step1-aff-mine,151.809024497,6100,1,11047,0,29,23,4,19599,19599,19599,,,0,0,0,0,enforce,0.85,0,0,2433,838,4714,2589,19327,19327,0,44055,48814,3713,209893,True,14991.117942810059,0,1188,1,1,,,3717,0,0,0,0,0,0,220940,0.0035883868496862084,70.328793867,1e-06,272,0,0,0,0,1.734363153,116,False,False,92.226507129,87,,,,,,,delete,116,15886,3713,20,187.39490021,0.49056058302537725,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del5/results.csv,2026-09-11T11:22:02
g,del5,5,naive,0,205.245780154,187.39490021,104.973166631,2.776279516,0,192.979106498,1.252148079,1.970556074,10.48576,1,,0.003313639,,,,0,,,220940,3.156494005,batch-cold-round-0,11246.808433532715,87,35.585874129,867,43.679351063,6967,cold-step0-step1-aff-mine,151.809024497,6100,1,11047,0,29,23,4,19599,19599,19599,,,0,0,0,0,enforce,0.85,0,0,2433,838,4714,2589,19327,19327,0,44055,48814,3713,209893,True,15083.326347351074,0,1188,1,1,,,3717,0,0,0,0,0,0,220940,0.009846375146589112,192.979106498,1e-06,272,0,0,0,0,2.776279516,116,False,False,205.692711833,87,,,,,,,delete,116,15886,3713,20,187.39490021,1.0952580882617178,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del5/results.csv,2026-09-11T11:22:02
g,del5,5,staticcorr,0,18.002970351,187.39490021,104.973166631,1.816891844,2.82829254,0.279555614,0,2.185905191,10.48576,0.75,,0,,,,0,,,220940,3.156494005,batch-cold-round-0,11246.808433532715,87,35.585874129,867,43.679351063,6967,cold-step0-step1-aff-mine,151.809024497,6100,1,11047,0,21,23,4,3157,5957,2355,,,1153,0,0,0,enforce,0.85,38686,22926,2433,5883,4714,2589,38686,22926,15760,44055,48814,163,209893,True,4669.100601196289,0,1188,1,1,,,177,0,1153,1,17,2.82829254,6808,220940,0.0013196807447983015,3.107848154,1e-06,0,360,6808,5493,5133,1.816891844,116,False,False,18.425956647,87,,,,,,,delete,116,9803,162,20,187.39490021,0.09606969202910731,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/g_ncvoter_delete/del5/results.csv,2026-09-11T11:22:02
