add_count,aff_relabel_s,base_size,batch_align_runtime_s,batch_model_name,batch_peak_mem_mb,batch_rules,batch_runtime_s,batch_search_runtime_s,batch_search_supp_nodes,batch_step0_runtime_s,batch_step1_runtime_s,batch_supp_nodes,batch_timing_contract,batch_train_runtime_s,batch_train_supp_nodes,breakdown_C_s,breakdown_E_s,breakdown_F_s,breakdown_R_s,breakdown_S_s,dataset_ratio,del_count,fn,fp,gt_invalid_rules,gt_new_rules,inc_dequeue_n,inc_enqueue_n,inc_runtime_s,inc_search_nodes,inc_train_canonical_rules,inc_train_raw_rules,lattice_samples,mcorr_diff_enqueued,mcorr_diff_raw,mcorr_diff_size,mcorr_enter_mode,mcorr_enter_threshold,mcorr_inc_cand,mcorr_inc_score_pos,mcorr_params,mcorr_predict_calls,mcorr_step1_cand,mcorr_step1_score_pos,mcorr_succ_generated,mcorr_succ_kept,mcorr_succ_pruned,minsup,minsup_base,new_rules,new_size,paper_mcorr,peak_mem_mb,pred_topk,pruned_rules,recall,recall_minus,recall_plus,remine_train_canonical_rules,remine_train_raw_rules,round,rules,s0_seeds,sample_count,sample_l8_13_ran,sample_l8_13_rhs,sample_replay_s,sample_replay_visits,sample_size,search_per_node_s,search_s,sigma,single_pred_seeds,sk_exact,sk_intersect,sk_mb,sk_probes,sk_skip,sketch_seed,step2_s,step2_verified_n,t9_ml_noskip,t9_ml_seed,total_runtime_s,tp,train_action,train_alignment,train_class_neg,train_class_pos,train_key_sha256,train_label_sha256,update_type,variant,verified,visit_mid_nodes,visit_rule_nodes,workers
0,0.003278385,1681616,10.564850809,batch-cold-round-0,36518.96349334717,82,251.593178609,32.472087428,1213,174.6070206,33.949208087,8749,cold-step0-step1-aff-mine,219.12108963,7536,0.020451044,0.729209879,8.778516629,0.281941233,11.888945745,1,16817,0,0,0,0,2186,10613,25.308777771,1233,1201,1201,1094,0,0,0,enforce,0.85,112610,53273,5377,5343,18221,6411,112610,53273,59337,2771555,2827832,80,1664799,True,23854.95509338379,0,1121,1,1,1,1201,1201,0,80,0,1094,1,12,11.888945745,19551,1681616,0.010233702858069748,12.618155624,1e-06,0,579,19551,10.48576,14984,14405,42,8.778516629,80,False,False,28.237026327,80,clone,match,743,80,33c645db40d3ef299017131af23655d0232b25ceb1cb0f6a77f5efae61478596,1ebf97a2a303ecff06550fdc3e393de26d09219c033e828e6a2e8f1db14b65c8,delete,pincminer,80,21657,80,20
0,0.003290028,1681616,10.564850809,batch-cold-round-0,36518.96349334717,82,251.593178609,32.472087428,1213,174.6070206,33.949208087,8749,cold-step0-step1-aff-mine,219.12108963,7536,0.023027582,2.20596671,7.46065032,0.307123443,21.693391372,1,16817,0,2,0,0,32407,164775,318.121247314,22022,,,1094,0,0,0,enforce,0.85,481632,207435,5377,27185,18221,6411,481632,207435,274197,2771555,2827832,83,1664799,True,27024.820602416992,0,1121,1,1,1,,,0,82,0,1094,1,12,21.693391372,19551,1681616,0.0010852492090636637,23.899358082,1e-06,0,14985,19551,10.48576,14985,0,42,7.46065032,80,False,False,320.767095848,80,,,,,,,delete,nocs,80,51877,81,20
0,0.003918451,1681616,10.564850809,batch-cold-round-0,36518.96349334717,82,251.593178609,32.472087428,1213,174.6070206,33.949208087,8749,cold-step0-step1-aff-mine,219.12108963,7536,0.018268513,288.865418366,8.317093823,0.709263377,0,1,16817,0,2,0,0,78183,78183,298.020201649,78183,,,0,0,0,0,enforce,0.85,0,0,5377,1026,18221,6411,77715,77715,0,2771555,2827832,2026,1664799,True,108246.92247009277,0,1121,1,1,1,,,0,2025,0,0,0,0,0,0,1681616,0.003694734384277912,288.865418366,1e-06,468,0,0,10.48576,0,0,42,8.317093823,80,False,False,299.771612136,80,,,,,,,delete,noaux,80,76160,2023,20
0,0.00509737,1681616,10.564850809,batch-cold-round-0,36518.96349334717,82,251.593178609,32.472087428,1213,174.6070206,33.949208087,8749,cold-step0-step1-aff-mine,219.12108963,7536,0.042916262,403.102992164,12.015532121,0.804766803,0,1,16817,0,2,0,0,78183,78183,416.094627369,78183,,,0,0,0,0,enforce,0.85,0,0,5377,1026,18221,6411,77715,77715,0,2771555,2827832,2026,1664799,True,95814.33895874023,0,1121,1,1,1,,,0,2025,0,0,0,0,0,0,1681616,0.005155890566542599,403.102992164,1e-06,468,0,0,10.48576,0,0,42,12.015532121,80,False,False,420.61030912,80,,,,,,,delete,naive,80,76160,2023,20
0,0,1681616,10.564850809,batch-cold-round-0,36518.96349334717,82,251.593178609,32.472087428,1213,174.6070206,33.949208087,8749,cold-step0-step1-aff-mine,219.12108963,7536,0.021298789,1.290147659,6.26573821,0,12.049368207,1,16817,0,2,0,0,2186,10613,22.298200449,1233,,,1094,0,0,0,enforce,0.85,112610,53273,5377,5343,18221,6411,112610,53273,59337,2771555,2827832,86,1664799,True,24190.673095703125,0,1121,1,1,1,,,0,83,0,1094,1,12,12.049368207,19551,1681616,0.010818747660989458,13.339515866000001,1e-06,0,581,19551,10.48576,14986,14405,42,6.26573821,80,False,False,25.986607758,80,,,,,,,delete,staticcorr,80,21655,82,20
